,origin_airport_id,delay_percent,Ranking
47,10713,23.003927353920375,92
213,13076,23.137254901960784,93
49,10728,23.201730665224446,94
132,11778,23.266856600189932,95
192,12819,23.3153078202995,96
331,14842,23.376623376623375,97
40,10627,23.40548898337843,98
236,13377,23.44139650872818,99
167,12255,23.49656357388316,100
369,15897,23.658051689860834,101
340,14960,23.69217466493731,102
228,13290,23.695937090432505,103
225,13256,23.713668499607227,104
205,12951,23.71978697255223,105
71,11013,23.721275018532246,106
278,14120,23.74429223744292,107
229,13296,23.900531611089143,108
208,12982,23.940273158304436,109
210,13029,23.975381172191916,110
43,10666,23.976691301876066,111
27,10434,24.03778866340098,112
327,14802,24.087591240875913,113
84,11140,24.269210572378785,114
155,12124,24.279210925644918,115
66,10967,24.284806102987922,116
100,11337,24.302853437094683,117
45,10685,24.31479403750601,118
136,11884,24.37214611872146,119
264,14004,24.37598060191128,120
15,10268,24.436363636363637,121
6,10155,24.46871310507674,122
285,14252,24.508050089445437,123
314,14689,24.516129032258064,124
135,11867,24.55418381344307,125
118,11612,24.612736660929432,126
241,13476,24.660455718935907,127
163,12217,24.725836431226767,128
102,11415,24.731182795698924,129
77,11067,24.779959377115777,130
56,10781,24.81301666447973,131
204,12945,24.836228994588435,132
317,14704,24.858466289243438,133
97,11308,25.04550418638515,134
124,11638,25.05047242186869,135
174,12335,25.169555388093446,136
17,10279,25.35092880558124,137
10,10170,25.37313432835821,138
355,15323,25.471472905227976,139
101,11413,25.47399124939232,140
61,10849,25.491180716841377,141
23,10408,25.615390441566312,142
242,13485,25.653328215462366,143
196,12891,25.68224299065421,144
265,14006,25.710014947683106,145
168,12264,25.749727005233968,146
144,11982,25.760426465976792,147
103,11423,25.80227816059626,148
148,11997,25.903614457831324,149
297,14489,25.946232755571273,150
34,10562,25.949367088607595,151
31,10551,25.992779783393498,152
216,13139,26.005297375391283,153
86,11150,26.01020007846214,154
130,11721,26.028406102051555,155
80,11097,26.06310013717421,156
193,12884,26.121623229798878,157
351,15096,26.180871455955142,158
275,14109,26.187150837988828,159
171,12278,26.210777626193725,160
117,11603,26.246190996377855,161
352,15249,26.263900938559825,162
281,14193,26.38157894736842,163
296,14487,26.398122800156433,164
221,13230,26.406192744595092,165
363,15412,26.49376231122784,166
62,10868,26.58892934507075,167
280,14150,26.59372026641294,168
116,11587,26.607717041800644,169
274,14108,26.712496931009085,170
180,12397,26.764655614424885,171
119,11617,26.775745909528393,172
92,11267,26.77606797675709,173
308,14633,26.849542809642564,174
93,11274,26.864943929790346,175
198,12896,26.87859270032551,176
370,15919,26.88385555144213,177
338,14952,26.88679245283019,178
358,15376,26.95562168456463,179
235,13367,26.970985872702414,180
19,10333,27.016129032258064,181
82,11111,27.081956378056844,182
217,13158,27.083333333333332,183
81,11109,27.112997444322744,184
158,12173,27.164589960714252,185
146,11995,27.188497500070618,186
133,11823,27.244500231221508,187
187,12511,27.276887871853546,188
68,10990,27.299016772700984,189
78,11076,27.32919254658385,190
344,15023,27.359296789158833,191
238,13422,27.399008860189216,192
362,15411,27.405927405927404,193
0,10135,27.479837033341646,194
147,11996,27.514792899408285,195
246,13502,27.621756132243156,196
4,10146,27.623762376237625,197
121,11624,27.63347071791431,198
240,13459,27.636363636363637,199
153,12094,27.669215519682812,200
90,11252,27.72421852176453,201
244,13487,27.74397858779344,202
67,10980,27.780620075718815,203
289,14262,27.788598883261912,204
364,15454,27.79204107830552,205
243,13486,27.83522923129955,206
279,14122,27.835286651991986,207
226,13264,27.95827633378933,208
268,14057,27.97506426587382,209
269,14082,28.002648004539438,210
316,14698,28.023681984775866,211
104,11433,28.089574481397428,212
334,14877,28.09611829944547,213
